"issue.date","song","artist","year"
"September 14","""People Got to Be Free""","The Rascals",1968
"September 21","""Harper Valley PTA""","Jeannie C. Riley",1968
"September 28","""Hey Jude""","The Beatles",1968
"October 5","""Hey Jude""","The Beatles",1968
"October 12","""Hey Jude""","The Beatles",1968
"October 19","""Hey Jude""","The Beatles",1968
"October 26","""Hey Jude""","The Beatles",1968
"November 2","""Hey Jude""","The Beatles",1968
"November 9","""Hey Jude""","The Beatles",1968
"November 16","""Hey Jude""","The Beatles",1968
"November 23","""Hey Jude""","The Beatles",1968
"November 30","""Love Child""","Diana Ross & the Supremes",1968
"December 7","""Love Child""","Diana Ross & the Supremes",1968
"December 14","""I Heard It Through the Grapevine""","Marvin Gaye",1968
"December 21","""I Heard It Through the Grapevine""","Marvin Gaye",1968
"December 28","""I Heard It Through the Grapevine""","Marvin Gaye",1968
"January 4","""I Heard It Through the Grapevine""","Marvin Gaye",1969
"January 11","""I Heard It Through the Grapevine""","Marvin Gaye",1969
"January 18","""I Heard It Through the Grapevine""","Marvin Gaye",1969
"January 25","""I Heard It Through the Grapevine""","Marvin Gaye",1969
"February 1","""Crimson and Clover""","Tommy James and the Shondells",1969
"February 8","""Crimson and Clover""","Tommy James and the Shondells",1969
"February 15","""Everyday People""","Sly & the Family Stone",1969
"February 22","""Everyday People""","Sly & the Family Stone",1969
"March 1","""Everyday People""","Sly & the Family Stone",1969
"March 8","""Everyday People""","Sly & the Family Stone",1969
"March 15","""Dizzy""","Tommy Roe",1969
"March 22","""Dizzy""","Tommy Roe",1969
"March 29","""Dizzy""","Tommy Roe",1969
"April 5","""Dizzy""","Tommy Roe",1969
"April 12","""Aquarius/Let the Sunshine In (The Flesh Failures)""","The 5th Dimension",1969
"April 19","""Aquarius/Let the Sunshine In (The Flesh Failures)""","The 5th Dimension",1969
"April 26","""Aquarius/Let the Sunshine In (The Flesh Failures)""","The 5th Dimension",1969
"May 3","""Aquarius/Let the Sunshine In (The Flesh Failures)""","The 5th Dimension",1969
"May 10","""Aquarius/Let the Sunshine In (The Flesh Failures)""","The 5th Dimension",1969
"May 17","""Aquarius/Let the Sunshine In (The Flesh Failures)""","The 5th Dimension",1969
"May 24","""Get Back""","The Beatles with Billy Preston",1969
"May 31","""Get Back""","The Beatles with Billy Preston",1969
"June 7","""Get Back""","The Beatles with Billy Preston",1969
"June 14","""Get Back""","The Beatles with Billy Preston",1969
"June 21","""Get Back""","The Beatles with Billy Preston",1969
"June 28","""Love Theme from Romeo and Juliet""","Henry Mancini",1969
"July 5","""Love Theme from Romeo and Juliet""","Henry Mancini",1969
"July 12","""In the Year 2525 (Exordium and Terminus)""","Zager and Evans",1969
"July 19","""In the Year 2525 (Exordium and Terminus)""","Zager and Evans",1969
"July 26","""In the Year 2525 (Exordium and Terminus)""","Zager and Evans",1969
"August 2","""In the Year 2525 (Exordium and Terminus)""","Zager and Evans",1969
"August 9","""In the Year 2525 (Exordium and Terminus)""","Zager and Evans",1969
"August 16","""In the Year 2525 (Exordium and Terminus)""","Zager and Evans",1969
"August 23","""Honky Tonk Women""","The Rolling Stones",1969
"August 30","""Honky Tonk Women""","The Rolling Stones",1969
"September 6","""Honky Tonk Women""","The Rolling Stones",1969
"September 13","""Honky Tonk Women""","The Rolling Stones",1969
"September 20","""Sugar, Sugar""","The Archies",1969
"September 27","""Sugar, Sugar""","The Archies",1969
"October 4","""Sugar, Sugar""","The Archies",1969
"October 11","""Sugar, Sugar""","The Archies",1969
"October 18","""I Can't Get Next to You""","The Temptations",1969
"October 25","""I Can't Get Next to You""","The Temptations",1969
"November 1","""Suspicious Minds""","Elvis Presley",1969
"November 8","""Wedding Bell Blues""","The 5th Dimension",1969
"November 15","""Wedding Bell Blues""","The 5th Dimension",1969
"November 22","""Wedding Bell Blues""","The 5th Dimension",1969
"November 29","""Come Together"" / ""Something""","The Beatles",1969
"December 6","""Na Na Hey Hey Kiss Him Goodbye""","Steam",1969
"December 13","""Na Na Hey Hey Kiss Him Goodbye""","Steam",1969
"December 20","""Leaving on a Jet Plane""","Peter, Paul and Mary",1969
"December 27","""Someday We'll Be Together""","Diana Ross & the Supremes",1969
"January 3","""Raindrops Keep Fallin' on My Head""","B. J. Thomas",1970
"January 10","""Raindrops Keep Fallin' on My Head""","B. J. Thomas",1970
"January 17","""Raindrops Keep Fallin' on My Head""","B. J. Thomas",1970
"January 24","""Raindrops Keep Fallin' on My Head""","B. J. Thomas",1970
"January 31","""I Want You Back""","The Jackson 5",1970
"February 7","""Venus""","Shocking Blue",1970
"February 14","""Thank You (Falettinme Be Mice Elf Agin)"" / ""Everybody Is a Star""","Sly & the Family Stone",1970
"February 21","""Thank You (Falettinme Be Mice Elf Agin)"" / ""Everybody Is a Star""","Sly & the Family Stone",1970
"February 28","""Bridge over Troubled Water""","Simon & Garfunkel",1970
"March 7","""Bridge over Troubled Water""","Simon & Garfunkel",1970
"March 14","""Bridge over Troubled Water""","Simon & Garfunkel",1970
"March 21","""Bridge over Troubled Water""","Simon & Garfunkel",1970
"March 28","""Bridge over Troubled Water""","Simon & Garfunkel",1970
"April 4","""Bridge over Troubled Water""","Simon & Garfunkel",1970
"April 11","""Let It Be""","The Beatles",1970
"April 18","""Let It Be""","The Beatles",1970
"April 25","""ABC""","The Jackson 5",1970
"May 2","""ABC""","The Jackson 5",1970
"May 9","""American Woman"" / ""No Sugar Tonight""","The Guess Who",1970
"May 16","""American Woman"" / ""No Sugar Tonight""","The Guess Who",1970
"May 23","""American Woman"" / ""No Sugar Tonight""","The Guess Who",1970
"May 30","""Everything Is Beautiful""","Ray Stevens",1970
"June 6","""Everything Is Beautiful""","Ray Stevens",1970
"June 13","""The Long and Winding Road"" / ""For You Blue""","The Beatles",1970
"June 20","""The Long and Winding Road"" / ""For You Blue""","The Beatles",1970
"June 27","""The Love You Save""","The Jackson 5",1970
"July 4","""The Love You Save""","The Jackson 5",1970
"July 11","""Mama Told Me (Not to Come)""","Three Dog Night",1970
"July 18","""Mama Told Me (Not to Come)""","Three Dog Night",1970
"July 25","""(They Long to Be) Close to You""","The Carpenters",1970
"August 1","""(They Long to Be) Close to You""","The Carpenters",1970
"August 8","""(They Long to Be) Close to You""","The Carpenters",1970
"August 15","""(They Long to Be) Close to You""","The Carpenters",1970
"August 22","""Make It with You""","Bread",1970
"August 29","""War""","Edwin Starr",1970
"September 5","""War""","Edwin Starr",1970
"September 12","""War""","Edwin Starr",1970
"September 19","""Ain't No Mountain High Enough""","Diana Ross",1970
"September 26","""Ain't No Mountain High Enough""","Diana Ross",1970
"October 3","""Ain't No Mountain High Enough""","Diana Ross",1970
"October 10","""Cracklin' Rosie""","Neil Diamond",1970
"October 17","""I'll Be There""","The Jackson 5",1970
"October 24","""I'll Be There""","The Jackson 5",1970
"October 31","""I'll Be There""","The Jackson 5",1970
"November 7","""I'll Be There""","The Jackson 5",1970
"November 14","""I'll Be There""","The Jackson 5",1970
"November 21","""I Think I Love You""","The Partridge Family",1970
"November 28","""I Think I Love You""","The Partridge Family",1970
"December 5","""I Think I Love You""","The Partridge Family",1970
"December 12","""The Tears of a Clown""","Smokey Robinson & the Miracles",1970
"December 19","""The Tears of a Clown""","Smokey Robinson & the Miracles",1970
"December 26","""My Sweet Lord"" / ""Isn't It a Pity""","George Harrison",1970
"January 2","""My Sweet Lord"" / ""Isn't It a Pity""","George Harrison",1971
"January 9","""My Sweet Lord"" / ""Isn't It a Pity""","George Harrison",1971
"January 16","""My Sweet Lord"" / ""Isn't It a Pity""","George Harrison",1971
"January 23","""Knock Three Times""","Dawn",1971
"January 30","""Knock Three Times""","Dawn",1971
"February 6","""Knock Three Times""","Dawn",1971
"February 13","""One Bad Apple""","The Osmonds",1971
"February 20","""One Bad Apple""","The Osmonds",1971
"February 27","""One Bad Apple""","The Osmonds",1971
"March 6","""One Bad Apple""","The Osmonds",1971
"March 13","""One Bad Apple""","The Osmonds",1971
"March 20","""Me and Bobby McGee""","Janis Joplin",1971
"March 27","""Me and Bobby McGee""","Janis Joplin",1971
"April 3","""Just My Imagination (Running Away with Me)""","The Temptations",1971
"April 10","""Just My Imagination (Running Away with Me)""","The Temptations",1971
"April 17","""Joy to the World""","Three Dog Night",1971
"April 24","""Joy to the World""","Three Dog Night",1971
"May 1","""Joy to the World""","Three Dog Night",1971
"May 8","""Joy to the World""","Three Dog Night",1971
"May 15","""Joy to the World""","Three Dog Night",1971
"May 22","""Joy to the World""","Three Dog Night",1971
"May 29","""Brown Sugar""","The Rolling Stones",1971
"June 5","""Brown Sugar""","The Rolling Stones",1971
"June 12","""Want Ads""","Honey Cone",1971
"June 19","""It's Too Late"" / ""I Feel the Earth Move""","Carole King",1971
"June 26","""It's Too Late"" / ""I Feel the Earth Move""","Carole King",1971
"July 3","""It's Too Late"" / ""I Feel the Earth Move""","Carole King",1971
"July 10","""It's Too Late"" / ""I Feel the Earth Move""","Carole King",1971
"July 17","""It's Too Late"" / ""I Feel the Earth Move""","Carole King",1971
"July 24","""Indian Reservation (The Lament of the Cherokee Reservation Indian)""","The Raiders",1971
"July 31","""You've Got a Friend""","James Taylor",1971
"August 7","""How Can You Mend a Broken Heart""","Bee Gees",1971
"August 14","""How Can You Mend a Broken Heart""","Bee Gees",1971
"August 21","""How Can You Mend a Broken Heart""","Bee Gees",1971
"August 28","""How Can You Mend a Broken Heart""","Bee Gees",1971
"September 4","""Uncle Albert/Admiral Halsey""","Paul & Linda McCartney",1971
"September 11","""Go Away Little Girl""","Donny Osmond",1971
"September 18","""Go Away Little Girl""","Donny Osmond",1971
"September 25","""Go Away Little Girl""","Donny Osmond",1971
"October 2","""Maggie May"" / ""Reason to Believe""","Rod Stewart",1971
"October 9","""Maggie May"" / ""Reason to Believe""","Rod Stewart",1971
"October 16","""Maggie May"" / ""Reason to Believe""","Rod Stewart",1971
"October 23","""Maggie May"" / ""Reason to Believe""","Rod Stewart",1971
"October 30","""Maggie May"" / ""Reason to Believe""","Rod Stewart",1971
"November 6","""Gypsys, Tramps & Thieves""","Cher",1971
"November 13","""Gypsys, Tramps & Thieves""","Cher",1971
"November 20","""Theme from Shaft""","Isaac Hayes",1971
"November 27","""Theme from Shaft""","Isaac Hayes",1971
"December 4","""Family Affair""","Sly and the Family Stone",1971
"December 11","""Family Affair""","Sly and the Family Stone",1971
"December 18","""Family Affair""","Sly and the Family Stone",1971
"December 25","""Brand New Key""","Melanie",1971
"January 1","""Brand New Key""","Melanie",1972
"January 8","""Brand New Key""","Melanie",1972
"January 15","""American Pie""","Don McLean",1972
"January 22","""American Pie""","Don McLean",1972
"January 29","""American Pie""","Don McLean",1972
"February 5","""American Pie""","Don McLean",1972
"February 12","""Let's Stay Together""","Al Green",1972
"February 19","""Without You""","Nilsson",1972
"February 26","""Without You""","Nilsson",1972
"March 4","""Without You""","Nilsson",1972
"March 11","""Without You""","Nilsson",1972
"March 18","""Heart of Gold""","Neil Young",1972
"March 25","""A Horse with No Name""","America",1972
"April 1","""A Horse with No Name""","America",1972
"April 8","""A Horse with No Name""","America",1972
"April 15","""The First Time Ever I Saw Your Face""","Roberta Flack",1972
"April 22","""The First Time Ever I Saw Your Face""","Roberta Flack",1972
"April 29","""The First Time Ever I Saw Your Face""","Roberta Flack",1972
"May 6","""The First Time Ever I Saw Your Face""","Roberta Flack",1972
"May 13","""The First Time Ever I Saw Your Face""","Roberta Flack",1972
"May 20","""The First Time Ever I Saw Your Face""","Roberta Flack",1972
"May 27","""Oh Girl""","The Chi-Lites",1972
"June 3","""I'll Take You There""","The Staple Singers",1972
"June 10","""The Candy Man""","Sammy Davis Jr.",1972
"June 17","""The Candy Man""","Sammy Davis Jr.",1972
"June 24","""The Candy Man""","Sammy Davis Jr.",1972
"July 1","""Song Sung Blue""","Neil Diamond",1972
"July 8","""Lean on Me""","Bill Withers",1972
"July 15","""Lean on Me""","Bill Withers",1972
"July 22","""Lean on Me""","Bill Withers",1972
"July 29","""Alone Again (Naturally)""","Gilbert O'Sullivan",1972
"August 5","""Alone Again (Naturally)""","Gilbert O'Sullivan",1972
"August 12","""Alone Again (Naturally)""","Gilbert O'Sullivan",1972
"August 19","""Alone Again (Naturally)""","Gilbert O'Sullivan",1972
"August 26","""Brandy (You're a Fine Girl)""","Looking Glass",1972
"September 2","""Alone Again (Naturally)""","Gilbert O'Sullivan",1972
"September 9","""Alone Again (Naturally)""","Gilbert O'Sullivan",1972
"September 16","""Black and White""","Three Dog Night",1972
"September 23","""Baby, Don't Get Hooked on Me""","Mac Davis",1972
"September 30","""Baby, Don't Get Hooked on Me""","Mac Davis",1972
"October 7","""Baby, Don't Get Hooked on Me""","Mac Davis",1972
"October 14","""Ben""","Michael Jackson",1972
"October 21","""My Ding-a-Ling""","Chuck Berry",1972
"October 28","""My Ding-a-Ling""","Chuck Berry",1972
"November 4","""I Can See Clearly Now""","Johnny Nash",1972
"November 11","""I Can See Clearly Now""","Johnny Nash",1972
"November 18","""I Can See Clearly Now""","Johnny Nash",1972
"November 25","""I Can See Clearly Now""","Johnny Nash",1972
"December 2","""Papa Was a Rollin' Stone""","The Temptations",1972
"December 9","""I Am Woman""","Helen Reddy",1972
"December 16","""Me and Mrs. Jones""","Billy Paul",1972
"December 23","""Me and Mrs. Jones""","Billy Paul",1972
"December 30","""Me and Mrs. Jones""","Billy Paul",1972
"January 6","""You're So Vain""","Carly Simon",1973
"January 13","""You're So Vain""","Carly Simon",1973
"January 20","""You're So Vain""","Carly Simon",1973
"January 27","""Superstition""","Stevie Wonder",1973
"February 3","""Crocodile Rock""","Elton John",1973
"February 10","""Crocodile Rock""","Elton John",1973
"February 17","""Crocodile Rock""","Elton John",1973
"February 24","""Killing Me Softly with His Song""","Roberta Flack",1973
"March 3","""Killing Me Softly with His Song""","Roberta Flack",1973
"March 10","""Killing Me Softly with His Song""","Roberta Flack",1973
"March 17","""Killing Me Softly with His Song""","Roberta Flack",1973
"March 24","""Love Train""","The O'Jays",1973
"March 31","""Killing Me Softly with His Song""","Roberta Flack",1973
"April 7","""The Night the Lights Went Out in Georgia""","Vicki Lawrence",1973
"April 14","""The Night the Lights Went Out in Georgia""","Vicki Lawrence",1973
"April 21","""Tie a Yellow Ribbon Round the Ole Oak Tree""","Dawn featuring Tony Orlando",1973
"April 28","""Tie a Yellow Ribbon Round the Ole Oak Tree""","Dawn featuring Tony Orlando",1973
"May 5","""Tie a Yellow Ribbon Round the Ole Oak Tree""","Dawn featuring Tony Orlando",1973
"May 12","""Tie a Yellow Ribbon Round the Ole Oak Tree""","Dawn featuring Tony Orlando",1973
"May 19","""You Are the Sunshine of My Life""","Stevie Wonder",1973
"May 26","""Frankenstein""","The Edgar Winter Group",1973
